subjectId,question,optionA,optionB,optionC,optionD,correctOption
chemistry,Helical structure of protein is stabilized by:,Peptide bond,Di-sulphide bond,Hydrogen bond,Ionic bond,C
chemistry,Which of the following is a ketohexose?,Glucose,Fructose,Galactose,Mannose,B
chemistry,NaCl crystal structure is:,BCC,FCC,HCP,Simple Cubic,B
chemistry,An octahedral void is surrounded by how many spheres?,4,6,8,12,B
chemistry,Which concentration unit is independent of temperature?,Molarity,Normality,Molality,Formality,C
chemistry,Formalin is an aqueous solution of:,Formic acid,Formaldehyde (40%),Fluoroform,Fructose,B
chemistry,Oxidation of acetaldehyde yields:,Ethanol,Acetic acid,Acetone,Ether,B
chemistry,Chloretone is formed when chloroform reacts with:,Formaldehyde,Acetaldehyde,Acetone,Benzaldehyde,C
chemistry,General formula of monocarboxylic acid is:,CₙH₂ₙO,CₙH₂ₙO₂,CₙH₂ₙ₊₂O,CₙH₂ₙ₊₁O,B
chemistry,Which oxide is paramagnetic?,CO₂,ClO₂,SiO₂,SO₂,B
chemistry,Which ion is diamagnetic?,Sc³⁺,Ti³⁺,V²⁺,Cr³⁺,A
chemistry,Electronic configuration of Copper (Z=29) is:,[Ar] 3d⁹ 4s²,[Ar] 3d¹⁰ 4s¹,[Ar] 3d⁸ 4s²,[Ar] 3d¹⁰ 4s²,B
chemistry,General electronic configuration of Lanthanides is:,(n-2)f¹⁻¹⁴ (n-1)d⁰⁻¹ ns²,(n-1)d¹⁻¹⁰ ns²,ns² np⁶,(n-2)f⁰⁻¹⁴ (n-1)d¹⁰ ns²,A
chemistry,Which compound is colored?,ZnSO₄,CuF₂,ScCl₃,TiCl₄,B
chemistry,Oxidation state of Fe in K₄[Fe(CN)₆] is:,+2,+3,0,+4,A
chemistry,EAN of Cobalt in [Co(en)₂Cl₂]⁺ is:,27,33,36,35,C
chemistry,The shape of [Ni(CN)₄]²⁻ is:,Tetrahedral,Square planar,Octahedral,Linear,B
chemistry,IUPAC name of [Co(NH₃)₆]Cl₃ is:,Hexaamminecobalt(III) chloride,Hexaamminecobalt(II) chloride,Hexaamminetrichlorocobalt(III),None,A
chemistry,Linkage isomerism is shown by:,NH₃,H₂O,NO₂⁻,Cl⁻,C
chemistry,Chloral is:,CCl₃CHO,CCl₃COCH₃,CHCl₃,CH₃CHO,A
chemistry,Which has zero dipole moment?,CH₃Cl,CHCl₃,CCl₄,CH₂Cl₂,C
chemistry,IUPAC name of CH₃-CH(Cl)-CH(CH₃)-CH₃ is:,2-chloro-3-methylbutane,3-chloro-2-methylbutane,2-chloro-3-methylbutane (Lowest locant set),2-chloro-isopentane,A
chemistry,Number of structural isomers of alcohol with formula C₄H₁₀O is:,2,3,4,5,C
chemistry,Oxidation of methyl alcohol with acidified K₂Cr₂O₇ gives:,Formaldehyde,Formic acid,CO₂,Methane,B
chemistry,Diethyl ether is used as:,Antiseptic,Anaesthetic,Analgesic,Hypnotic,B
chemistry,General formula of carbonyl compounds is:,CₙH₂ₙO,CₙH₂ₙ₊₂O,CₙH₂ₙO₂,CₙH₂ₙ₋₂O,A
chemistry,"At room temperature, formaldehyde is:",Gas,Liquid,Solid,None,A
chemistry,Temperature coefficient of a reaction is the ratio of rate constants at temperatures differing by:,10°C,1°C,100°C,5°C,A
chemistry,Value of temperature coefficient usually lies between:,1 and 2,2 and 3,3 and 4,0 and 1,B
chemistry,"If rate law is r = k[A][B]^n, order of reaction is:",n,1+n,n-1,1,B
chemistry,Which electrolyte is least effective in coagulating ferric hydroxide sol?,KBr,K₂SO₄,K₃[Fe(CN)₆],K₂CrO₄,A
chemistry,Which is an emulsifier?,Soap,Oil,Water,NaCl,A
chemistry,Which compound undergoes Aldol condensation?,HCHO,C₆H₅CHO,CH₃CHO,CCl₃CHO,C
chemistry,Vinegar contains what percentage of acetic acid?,100%,50%,20-30%,6-10%,D
chemistry,IUPAC name of ethyl acetate (CH₃COOC₂H₅) is:,Ethyl acetate,Ethyl ethanoate,Methyl propanoate,Ethyl methanoate,B
chemistry,General formula of amines is:,CₙH₂ₙ₊₃N,CₙH₂ₙ₊₁N,CₙH₂ₙN,CₙH₂ₙ₊₂N,A
chemistry,IUPAC name of tertiary butyl alcohol is:,2-methylpropan-1-ol,2-methylpropan-2-ol,Butan-2-ol,2-methylbutan-2-ol,B
chemistry,Structure of Hypophosphorous acid (H₃PO₂) contains:,One P-OH bond,Two P-OH bonds,Three P-OH bonds,No P-H bond,A
chemistry,Ammonia gas is dried by:,Conc. H₂SO₄,P₂O₅,CaO (Quick lime),CaCl₂,C
chemistry,Which hydride of Group 15 is the strongest base?,NH₃,PH₃,AsH₃,SbH₃,A
chemistry,Unit of specific conductance is:,Ohm cm,Ohm⁻¹ cm⁻¹,Ohm⁻¹ cm²,Ohm cm⁻²,B
chemistry,Raw material for Nylon-6-6 is:,Caprolactam,Adipic acid + Hexamethylene diamine,Phenol + Formaldehyde,Ethylene glycol + Terephthalic acid,B
chemistry,Monomer of Teflon is:,CH₂=CH₂,CF₂=CF₂,Tetrafluoroethylene,Vinyl chloride,C
chemistry,Arrhenius equation is:,k = A e^(-Ea/RT),k = A e^(Ea/RT),k = A e^(-RT/Ea),A = k e^(-Ea/RT),A
chemistry,Rate of reaction depends on:,Atomic mass,Equivalent mass,Active mass,Molecular mass,C
chemistry,Alkyl halide reacts with dry Ag₂O to give:,Alcohol,Ether,Ketone,Acid,B
chemistry,IUPAC name of CH₃CH(OH)CH₂CHO is:,3-hydroxybutanal,3-hydroxybutanal,2-hydroxybutanal,3-hydroxypropanal,B
chemistry,Reagent used to distinguish Formic acid from Formaldehyde:,Tollen's reagent,Fehling's solution,Benedict's solution,NaHCO₃,D
chemistry,Which metal is generally found in free state?,Cu,Fe,Al,Au,D
chemistry,Which statement is true?,All ores are minerals,All minerals are ores,Minerals cannot be ores,Ores cannot be minerals,A
chemistry,Extraction of Sodium is done by:,Smelting,Roasting,Electrolysis,Zone refining,C
chemistry,Ore containing two different metals is:,Haematite,Galena,Copper Pyrite (CuFeS₂),Magnetite,C
chemistry,Which is known as laughing gas?,NO,N₂O,N₂O₃,N₂O₅,B
chemistry,Which bond has highest bond energy?,O-O,S-S,Se-Se,Te-Te,B
chemistry,Oxidation state of Ni in Ni(CO)₄:,+2,+4,0,+1,C
chemistry,Which complex has highest molar conductance?,[Pt(NH₃)₆]Cl₄,[Pt(NH₃)₅Cl]Cl₃,[Pt(NH₃)₄Cl₂]Cl₂,[Pt(NH₃)₃Cl₃]Cl,A
chemistry,IUPAC name of K₃[Fe(CN)₆] is:,Potassium ferrocyanide,Potassium hexacyanoferrate(III),Potassium hexacyanoferrate(II),Potassium ferricyanide,B
chemistry,Vitamin B₁₂ contains:,Iron,Magnesium,Cobalt,Zinc,C
chemistry,Coordination number of Ni in [Ni(C₂O₄)₃]⁴⁻ is:,3,4,6,5,C
chemistry,Reaction C₂H₅Br + NaOH → C₂H₅OH + NaBr is:,Electrophilic substitution,Nucleophilic substitution,Elimination,Addition,B
chemistry,Formula of Orthophosphoric acid is:,H₃PO₃,H₃PO₄,HPO₃,H₄P₂O₇,B
chemistry,Structure of XeF₄ is:,Tetrahedral,Octahedral,Square Planar,Linear,C
chemistry,Which halogen does not show positive oxidation state?,Iodine,Bromine,Chlorine,Fluorine,D
chemistry,Which has the smallest bond angle?,H₂O,H₂S,H₂Se,H₂Te,D
chemistry,Which ion has maximum unpaired electrons?,Mg²⁺,Ti³⁺,V³⁺,Fe³⁺,D
chemistry,Which is an alkaloid?,Nicotine,Atropine,Cocaine,All of these,D
chemistry,IUPAC name of CH₃-CH(OH)-CH₂-CH₃ is:,Butan-1-ol,Butan-2-ol,2-methylpropan-1-ol,None,B
chemistry,Glucose is a:,Pentose sugar,Aldohexose,Ketohexose,Tetrose,B
chemistry,Lucas reagent is:,Conc. HCl + Anhydrous ZnCl₂,Conc. HNO₃ + HCl,Dil. HCl + ZnCl₂,Conc. HCl + Cu,A
chemistry,Which of the following is obtained when Formic acid is heated with Conc. H₂SO₄?,CO₂,CO,Oxalic acid,SO₂,B
chemistry,The IUPAC name of Lactic acid is:,2-Hydroxypropanoic acid,Propanoic acid,2-Hydroxybutanoic acid,3-Hydroxypropanoic acid,A
chemistry,A solution of 18 g of glucose in 1000 g of solvent is:,1 Molar,0.1 Molar,0.1 Molal,0.5 Molal,C
chemistry,"For a reaction with rate law r = k[A][B]², if concentration of B is tripled, the rate becomes:",3 times,6 times,9 times,27 times,C
chemistry,In which compound does Oxygen show an oxidation state of +2?,H₂O,CO₂,OF₂,MgO,C
chemistry,Which noble gas forms the maximum number of compounds?,He,Ne,Ar,Xe,D
chemistry,Which of the following is used as an antacid?,Magnesium hydroxide,Sodium hydroxide,Calcium carbonate,Hydrochloric acid,A
chemistry,Saccharin is a:,Carbohydrate,Sweetening agent,Fat,Protein,B
chemistry,Which of the following acts as an antioxidant?,Vitamin E,Citric acid,Lecithin,All of these,D
chemistry,The cell constant of a conductivity cell is given by:,l/A,A/l,l × A,R/A,A
chemistry,Chloramine-T is used as:,Antiseptic,Analgesic,Antipyretic,Antibiotic,A
chemistry,Vitamin required for blood clotting is:,Vitamin A,Vitamin C,Vitamin K,Vitamin E,C
chemistry,An azeotropic mixture of HCl and H₂O contains:,20.2% HCl,48% HCl,36% HCl,90% HCl,A
chemistry,96500 Coulombs of electricity liberates how much Copper from CuSO₄ solution?,63.5 g,31.76 g,96500 g,100 g,B
chemistry,Cryolite is an ore of:,Iron,Copper,Aluminium,Zinc,C
chemistry,The correct order of electron affinity is:,F > Cl > Br > I,Cl > F > Br > I,I > Br > Cl > F,F > Br > Cl > I,B
chemistry,Which metal is purified by Hoope's process?,Cu,Al,Fe,Zn,B
chemistry,Oleum is chemically:,H₂SO₄,H₂S₂O₇,H₂SO₃,H₂S₂O₈,B
chemistry,Which catalyst is used in the Contact process for sulphuric acid?,Fe,V₂O₅,Pt,Ni,B
chemistry,Reaction of Phenol with Zinc dust gives:,Benzaldehyde,Benzoic acid,Benzene,Toluene,C
chemistry,Caprolactam is the monomer of:,Nylon-6-6,Nylon-6,Terylene,Teflon,B
chemistry,Which of the following is a biodegradable polymer?,Polythene,PVC,PHBV,Nylon-6-6,C
chemistry,Aspirin is:,Acetyl salicylic acid,Methyl salicylate,Salicylic acid,Benzoic acid,A
chemistry,Glucose on heating with HI gives:,n-Hexanol,n-Hexane,Hexanoic acid,Gluconic acid,B
chemistry,Which vitamin prevents Scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C
chemistry,The gas responsible for the Bhopal Gas Tragedy was:,Methyl amine,Methyl isocyanate,Methyl cyanide,Phosgene,B
chemistry,Which reaction converts an amide into a primary amine with one less carbon?,Wurtz reaction,Hoffmann bromamide reaction,Cannizzaro reaction,Friedel-Crafts reaction,B
chemistry,Reimer-Tiemann reaction yields:,Salicylaldehyde,Salicylic acid,Benzaldehyde,Phenol,A
chemistry,Which is used as a refrigerant?,CCl₃,CF₂Cl₂ (Freon),CHCl₃,CH₂Cl₂,B
chemistry,The geometry of SF₆ molecule is:,Tetrahedral,Square planar,Octahedral,Trigonal bipyramidal,C
chemistry,Which of the following is a broad spectrum antibiotic?,Penicillin,Chloramphenicol,Aspirin,Paracetamol,B
chemistry,Terylene is a condensation polymer of ethylene glycol and:,Adipic acid,Phthalic acid,Terephthalic acid,Benzoic acid,C
chemistry,Which of the following forms a Zwitter ion?,Glucose,Amino acid,Alcohol,Ether,B
chemistry,The main constituent of Detol is:,Chloroxylenol and Terpineol,Phenol,Iodine,Chlorine,A
chemistry,Reduction of nitrobenzene with Sn/HCl gives:,Aniline,Nitrosobenzene,Azobenzene,Hydrazobenzene,A
chemistry,Which of the following undergoes Cannizzaro reaction?,CH₃CHO,HCHO,CH₃COCH₃,C₂H₅CHO,B
chemistry,The reagent used in Clemmensen reduction is:,Zn-Hg/HCl,NH₂NH₂/KOH,LiAlH₄,NaBH₄,A
chemistry,Ethyl amine reacts with HNO₂ to form:,Ethyl alcohol,Acetic acid,Ethane,Nitroethane,A
chemistry,Order of reactivity of alkyl halides towards SN1 reaction is:,1° > 2° > 3°,3° > 2° > 1°,2° > 3° > 1°,1° > 3° > 2°,B
chemistry,The color of transition metal ions is due to:,s-s transition,d-d transition,p-p transition,f-f transition,B
chemistry,Oxidation state of K in KO₂ is:,+1,+2,+4,-1,A
chemistry,Which is known as 'King of Chemicals'?,HCl,HNO₃,H₂SO₄,NaOH,C
chemistry,"In the extraction of Iron, limestone is added as:",Flux,Slag,Gangue,Reducing agent,A
chemistry,Which of the following is not an ore of Zinc?,Zinc blende,Calamine,Zincite,Bauxite,D
chemistry,Gold number is associated with:,Lyophilic colloid,Lyophobic colloid,Emulsion,Gel,A
chemistry,Tyndall effect is observed in:,True solution,Colloidal solution,Precipitate,Solvent,B
chemistry,Brownian movement is due to:,Temperature fluctuation,Bombardment of dispersion medium molecules on colloidal particles,Charge on particles,Convection currents,B
chemistry,For a zero order reaction A → P rate is:,k[A],k[A]⁰,k[A]²,k[A]⁻¹,B
chemistry,Unit of rate constant for zero order reaction is:,s⁻¹,mol L⁻¹ s⁻¹,L mol⁻¹ s⁻¹,Dimensionless,B
chemistry,Which of the following is a network solid?,SO₂ (solid),I₂,SiO₂ (Quartz),H₂O (Ice),C
chemistry,Schottky defect is a:,Point defect,Line defect,Plane defect,Electronic defect,A
chemistry,F-centers in crystals are responsible for:,Density,Color,Conductivity,Stability,B
chemistry,Which of the following is a ferromagnetic substance?,NaCl,CrO₂,O₂,N₂,B
chemistry,Which method is used to concentrate Sulphide ores?,Gravity separation,Froth floatation,Magnetic separation,Leaching,B
chemistry,Mond's process is used for purification of:,Ni,Zr,Ti,Zn,A
chemistry,White Phosphorus (P₄) molecule has:,4 lone pairs,6 P-P single bonds,6 lone pairs,4 P-P single bonds,B
chemistry,Which of the following does not exist?,NCl₃,NCl₅,PCl₅,SbCl₅,B
chemistry,Basicity of H₃PO₃ is:,1,2,3,0,B
chemistry,Which halogen has the highest bond dissociation energy?,F₂,Cl₂,Br₂,I₂,B
chemistry,Example of an ambidentate ligand is:,H₂O,NH₃,SCN⁻,Cl⁻,C
chemistry,The oxidation state of Fe in brown ring complex [Fe(H₂O)₅NO]SO₄ is:,+1,+2,+3,0,A
chemistry,IUPAC name of [Ni(CO)₄] is:,Tetracarbonylnickel(II),Tetracarbonylnickel(0),Nickel tetracarbonyl,None,B
chemistry,Haloarenes are less reactive than haloalkanes towards nucleophilic substitution due to:,Resonance effect,Inductive effect,Unstable cation,Steric hindrance,A
chemistry,Which of the following is used as a fire extinguisher?,CHCl₃,CCl₄ (Pyrene),CH₂Cl₂,COCl₂,B
chemistry,Williamson's synthesis is used to prepare:,Alcohols,Ethers,Ketones,Aldehydes,B
